ZotuID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	module	z	p	trt	inter_cut	taxon	kingdom	category	taxon2
Botu1	1	0	0	1.51E-89	0	65	0	0	terrace1	1	g:Candidatus_Xiphinematobacter.1	Bacteria	peripheral	g:Candidatus_Xiphinematobacter
Botu355	1	0	0	1.51E-89	0	65	0	0	terrace1	1	o:iii1-15.355	Bacteria	peripheral	o:iii1-15
Botu533	1	0	0	1.51E-89	0	64	0	0	terrace1	1	o:RB41.533	Bacteria	peripheral	o:RB41
Potu1219	1	0	0	1.51E-89	0	64	0	0	terrace1	1	g:Cercomonas.1219	Protists	peripheral	g:Cercomonas
Potu1734	1	0	0	1.51E-89	0	63	0	0	terrace1	1	g:Oxytrichidae_X.1734	Protists	peripheral	g:Oxytrichidae_X
Potu921	1	0	0	1.51E-89	0	63	0	0	terrace1	1	f:Vahlkampfiidae.921	Protists	peripheral	f:Vahlkampfiidae
Potu1527	1	0	0	1.51E-89	0	62	0	0	terrace1	1	g:Allapsidae_X.1527	Protists	peripheral	g:Allapsidae_X
Potu1838	1	0	0	1.51E-89	0	62	0	0	terrace1	1	g:Paracercomonas.1838	Protists	peripheral	g:Paracercomonas
Botu405	1	0	0	1.51E-89	0	61	0	0	terrace1	1	g:DA101.405	Bacteria	peripheral	g:DA101
Potu187	1	0	0	1.51E-89	0	61	0	0	terrace1	1	g:Cercomonas.187	Protists	peripheral	g:Cercomonas
Botu1405	1	0	0	1.51E-89	0	60	0	0	terrace1	1	f:Myxococcaceae.1405	Bacteria	peripheral	f:Myxococcaceae
Botu240	1	0	0	1.51E-89	0	60	0	0	terrace1	1	f:[Chthoniobacteraceae].240	Bacteria	peripheral	f:[Chthoniobacteraceae]
Botu1580	1	0	0	1.51E-89	0	59	0	0	terrace1	1	g:A17.1580	Bacteria	peripheral	g:A17
Potu1991	1	0	0	1.51E-89	0	59	0	0	terrace1	1	g:Oxytrichidae_X.1991	Protists	peripheral	g:Oxytrichidae_X
Potu1185	1	0	0	1.51E-89	0	58	0	0	terrace1	1	g:Eocercomonas.1185	Protists	peripheral	g:Eocercomonas
