zotu_1	zotu_2	interaction	RMTt	trt	taxa1	taxa2	group1	group2	type
Botu1	Botu355	1	0.96	terrace1	g:Candidatus_Xiphinematobacter.1	o:iii1-15.355	Bacteria	Bacteria	bb
Botu1013	Botu1977	1	0.96	terrace1	o:CL500-15.1013	o:N1423WL.1977	Bacteria	Bacteria	bb
Botu1013	Botu559	1	0.96	terrace1	o:CL500-15.1013	g:DA101.559	Bacteria	Bacteria	bb
Botu1018	Botu2047	1	0.96	terrace1	o:iii1-15.1018	f:Ellin6075.2047	Bacteria	Bacteria	bb
Botu1020	Potu439	1	0.96	terrace1	o:Solirubrobacterales.1020	f:Actinocephalidae.439	Bacteria	Protists	bp
Botu1020	Potu860	1	0.96	terrace1	o:Solirubrobacterales.1020	g:Cercomonas.860	Bacteria	Protists	bp
Botu1024	Botu1511	1	0.96	terrace1	o:RB41.1024	o:Solirubrobacterales.1511	Bacteria	Bacteria	bb
Botu1024	Botu597	1	0.96	terrace1	o:RB41.1024	f:0319-6A21.597	Bacteria	Bacteria	bb
Botu1024	Fotu475	1	0.96	terrace1	o:RB41.1024	g:Oidiodendron.475	Bacteria	Fungi	bf
Botu1024	Potu1139	1	0.96	terrace1	o:RB41.1024	g:Cercomonas.1139	Bacteria	Protists	bp
Botu1024	Potu1820	1	0.96	terrace1	o:RB41.1024	o:Colpodea_X.1820	Bacteria	Protists	bp
Botu1024	Potu572	1	0.96	terrace1	o:RB41.1024	g:Colpoda.572	Bacteria	Protists	bp
Botu1025	Botu1302	1	0.96	terrace1	g:DA101.1025	f:Ellin6075.1302	Bacteria	Bacteria	bb
Botu1025	Botu1448	1	0.96	terrace1	g:DA101.1025	o:iii1-15.1448	Bacteria	Bacteria	bb
Botu1025	Botu1567	1	0.96	terrace1	g:DA101.1025	g:Flavobacterium.1567	Bacteria	Bacteria	bb
Botu1025	Botu1618	1	0.96	terrace1	g:DA101.1025	o:Sediment-1.1618	Bacteria	Bacteria	bb
Botu1025	Botu1885	1	0.96	terrace1	g:DA101.1025	f:Streptomycetaceae.1885	Bacteria	Bacteria	bb
Botu1025	Botu2071	1	0.96	terrace1	g:DA101.1025	f:0319-6A21.2071	Bacteria	Bacteria	bb
Botu1025	Fotu1001	1	0.96	terrace1	g:DA101.1025	g:Mortierella.1001	Bacteria	Fungi	bf
Botu1025	Fotu1487	1	0.96	terrace1	g:DA101.1025	o:GS11.1487	Bacteria	Fungi	bf
Botu1025	Fotu840	1	0.96	terrace1	g:DA101.1025	g:Chalara.840	Bacteria	Fungi	bf
Botu1025	Potu1548	1	0.96	terrace1	g:DA101.1025	g:Paracercomonas.1548	Bacteria	Protists	bp
Botu1025	Potu874	1	0.96	terrace1	g:DA101.1025	g:Allpasidae_Group-Te.874	Bacteria	Protists	bp
Botu1028	Botu971	1	0.96	terrace1	o:iii1-15.1028	f:RB40.971	Bacteria	Bacteria	bb
Botu1032	Botu435	1	0.96	terrace1	c:Ellin6529.1032	f:mb2424.435	Bacteria	Bacteria	bb
Botu1032	Botu811	1	0.96	terrace1	c:Ellin6529.1032	g:Kribbella.811	Bacteria	Bacteria	bb
Botu1032	Botu847	1	0.96	terrace1	c:Ellin6529.1032	g:Pedomicrobium.847	Bacteria	Bacteria	bb
Botu1032	Fotu786	1	0.96	terrace1	c:Ellin6529.1032	g:Hamatocanthoscypha.786	Bacteria	Fungi	bf
Botu1032	Fotu852	1	0.96	terrace1	c:Ellin6529.1032	o:Hypocreales.852	Bacteria	Fungi	bf
Botu1032	Notu361	1	0.96	terrace1	c:Ellin6529.1032	g:Chromadorea_XX.361	Bacteria	Nematodes	bn
Botu1032	Notu371	1	0.96	terrace1	c:Ellin6529.1032	g:Anaplectus.371	Bacteria	Nematodes	bn
