zotu_1	zotu_2	interaction	RMTt	trt	taxa1	taxa2	group1	group2
Botu1	Botu17	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	o:Ellin6513.17	Bacteria	Bacteria
Botu1	Botu202	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Isosphaeraceae.202	Bacteria	Bacteria
Botu1	Botu218	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	g:Candidatus_Xiphinematobacter.218	Bacteria	Bacteria
Botu1	Botu253	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Gemmataceae.253	Bacteria	Bacteria
Botu1	Botu266	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Sinobacteraceae.266	Bacteria	Bacteria
Botu1	Botu322	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Methylocystaceae.322	Bacteria	Bacteria
Botu1	Botu448	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Gemmataceae.448	Bacteria	Bacteria
Botu1	Botu45	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Koribacteraceae.45	Bacteria	Bacteria
Botu1	Botu581	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	o:Ellin329.581	Bacteria	Bacteria
Botu1	Botu895	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Acetobacteraceae.895	Bacteria	Bacteria
Botu1	Botu919	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Isosphaeraceae.919	Bacteria	Bacteria
Botu1	Fotu656	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	g:Gorgomyces.656	Bacteria	Fungi
Botu1	Fotu773	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	f:Venturiaceae.773	Bacteria	Fungi
Botu1	Potu232	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	o:Glissomonadida.232	Bacteria	Protists
Botu1	Potu548	1	0.96	terrace3	g:Candidatus_Xiphinematobacter.1	o:Glissomonadida.548	Bacteria	Protists
Botu10	Botu115	1	0.96	terrace3	f:Acidobacteriaceae.10	f:Chthonomonadaceae.115	Bacteria	Bacteria
Botu10	Fotu1298	1	0.96	terrace3	f:Acidobacteriaceae.10	g:Devriesia.1298	Bacteria	Fungi
Botu10	Fotu1591	1	0.96	terrace3	f:Acidobacteriaceae.10	g:Archaeorhizomyces.1591	Bacteria	Fungi
Botu10	Fotu483	1	0.96	terrace3	f:Acidobacteriaceae.10	g:Oidiodendron.483	Bacteria	Fungi
Botu10	Potu408	1	0.96	terrace3	f:Acidobacteriaceae.10	o:Glissomonadida.408	Bacteria	Protists
Botu100	Botu153	1	0.96	terrace3	g:Mycobacterium.100	g:Burkholderia.153	Bacteria	Bacteria
Botu100	Botu171	1	0.96	terrace3	g:Mycobacterium.100	f:Acidobacteriaceae.171	Bacteria	Bacteria
Botu100	Botu276	1	0.96	terrace3	g:Mycobacterium.100	f:Solibacteraceae.276	Bacteria	Bacteria
Botu100	Botu29	1	0.96	terrace3	g:Mycobacterium.100	f:Conexibacteraceae.29	Bacteria	Bacteria
Botu100	Fotu1104	1	0.96	terrace3	g:Mycobacterium.100	o:Capnodiales.1104	Bacteria	Fungi
Botu100	Fotu1501	1	0.96	terrace3	g:Mycobacterium.100	g:Microsporomyces.1501	Bacteria	Fungi
Botu100	Fotu1567	1	0.96	terrace3	g:Mycobacterium.100	g:Archaeorhizomyces.1567	Bacteria	Fungi
Botu100	Fotu1702	1	0.96	terrace3	g:Mycobacterium.100	g:Archaeorhizomyces.1702	Bacteria	Fungi
Botu100	Potu396	1	0.96	terrace3	g:Mycobacterium.100	f:Allapsidae.396	Bacteria	Protists
Botu1004	Botu53	1	0.96	terrace3	f:Acidobacteriaceae.1004	f:Isosphaeraceae.53	Bacteria	Bacteria
Botu1011	Botu303	1	0.96	terrace3	f:Isosphaeraceae.1011	f:Pirellulaceae.303	Bacteria	Bacteria
Botu1011	Potu310	1	0.96	terrace3	f:Isosphaeraceae.1011	g:Vampyrella.310	Bacteria	Protists
Botu1011	Potu676	1	0.96	terrace3	f:Isosphaeraceae.1011	g:Allapsidae_X.676	Bacteria	Protists
Botu103	Botu11	1	0.96	terrace3	o:Actinomycetales.103	o:Actinomycetales.11	Bacteria	Bacteria
Botu103	Botu162	1	0.96	terrace3	o:Actinomycetales.103	g:Rhodoplanes.162	Bacteria	Bacteria
Botu1042	Botu13	1	0.96	terrace3	f:Rhodospirillaceae.1042	g:Mycobacterium.13	Bacteria	Bacteria
Botu1042	Botu21	1	0.96	terrace3	f:Rhodospirillaceae.1042	o:Actinomycetales.21	Bacteria	Bacteria
Botu1042	Botu306	1	0.96	terrace3	f:Rhodospirillaceae.1042	f:Isosphaeraceae.306	Bacteria	Bacteria
Botu1042	Botu32	1	0.96	terrace3	f:Rhodospirillaceae.1042	f:auto67_4W.32	Bacteria	Bacteria
Botu1042	Botu438	1	0.96	terrace3	f:Rhodospirillaceae.1042	f:Conexibacteraceae.438	Bacteria	Bacteria
Botu1042	Botu538	1	0.96	terrace3	f:Rhodospirillaceae.1042	o:WD2101.538	Bacteria	Bacteria
Botu1042	Botu606	1	0.96	terrace3	f:Rhodospirillaceae.1042	f:Sinobacteraceae.606	Bacteria	Bacteria
