ZotuID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	module	z	p	trt	inter_cut	taxon	kingdom	category
Fotu1193	19	647.7670781	164720	0.046182457	0.228070175	6	2.442463943	0.332409972	terrace3	1	f:Teratosphaeriaceae.1193	Fungi	peripherals
Fotu488	19	647.7670781	164720	0.046182457	0.228070175	6	2.442463943	0.332409972	terrace3	1	g:Oidiodendron.488	Fungi	peripherals
Botu13	17	556.9322275	93165	0.202259614	0.389705882	1	1.053371448	0.290657439	terrace3	1	g:Mycobacterium.13	Bacteria	peripherals
Fotu1692	17	556.9322275	93165	0.202259614	0.389705882	1	1.053371448	0.290657439	terrace3	1	g:Archaeorhizomyces.1692	Fungi	peripherals
Potu226	17	556.9322275	93165	0.202259614	0.389705882	1	1.053371448	0.290657439	terrace3	1	g:Sphenoderia.226	Protists	peripherals
Botu1237	16	908.0558148	93951	0.203760708	0.391666667	1	1.505526174	0	terrace3	1	f:auto67_4W.1237	Bacteria	peripherals
Botu21	16	373.267893	68188	0.210564839	0.458333333	1	1.505526174	0	terrace3	1	o:Actinomycetales.21	Bacteria	peripherals
Botu306	16	373.267893	68188	0.210564839	0.458333333	1	1.505526174	0	terrace3	1	f:Isosphaeraceae.306	Bacteria	peripherals
Fotu331	16	324.8470199	95745	0.19883358	0.416666667	1	1.505526174	0	terrace3	1	g:Gorgomyces.331	Fungi	peripherals
Potu368	16	324.8470199	95745	0.19883358	0.416666667	1	1.505526174	0	terrace3	1	o:Glissomonadida.368	Protists	peripherals
Potu436	16	373.267893	68188	0.210564839	0.458333333	1	1.505526174	0	terrace3	1	f:Allapsidae.436	Protists	peripherals
Potu919	16	324.8470199	95745	0.19883358	0.416666667	1	1.505526174	0	terrace3	1	g:Cercomonas.919	Protists	peripherals
Botu331	15	563.6121465	79273	0.069428519	0.323809524	1	1.279448811	0	terrace3	1	o:Actinomycetales.331	Bacteria	peripherals
Botu689	15	241.046418	51178	0.206078935	0.438095238	1	1.279448811	0	terrace3	1	f:Acidobacteriaceae.689	Bacteria	peripherals
